net,length_um
L1C0.l2_rdata\[31\],127.7
_20390_,127.66
clknet_leaf_46_clk,127.64
_19791_,127.63
clknet_leaf_347_clk,127.44
_19810_,127.39
_25550_,127.38
_27240_,127.38
_20302_,127.32
_21545_,127.26
_24762_,127.26
_19370_,127.24
_22143_,127.16
_27451_,127.14
_19210_,127.045
_24264_,127.04
EC0.RF.wdata\[8\],126.95
_24994_,126.95
_26317_,126.92
clknet_leaf_707_clk,126.72
_19161_,126.715
clknet_leaf_298_clk,126.71
clknet_leaf_420_clk,126.54
EC0.dmem_rdata\[4\],126.51
_25963_,126.375
_27316_,126.36
_27107_,126.26
_27828_,126.24
_27498_,126.105
clknet_leaf_483_clk,126.1
_20206_,126.04
_25956_,125.96
_26723_,125.96
_27215_,125.93
clknet_leaf_129_clk,125.9
clknet_leaf_724_clk,125.84
_28047_,125.78
EC0.dmem_rdata\[8\],125.72
L1C0.l2_rdata\[30\],125.7
_19209_,125.66
_25511_,125.66
_27598_,125.64
_20412_,125.62
clknet_leaf_674_clk,125.6
_27135_,125.55
_26826_,125.54
_27866_,125.37
clknet_leaf_389_clk,125.27
_28208_,125.17
clknet_leaf_573_clk,125.16
clknet_leaf_511_clk,125.06
_20428_,125.04
_26664_,124.96
_19182_,124.94
_20382_,124.89
_25749_,124.86
_19589_,124.78
_19949_,124.74
_25612_,124.74
clknet_leaf_744_clk,124.72
_23586_,124.68
_26370_,124.62
_26323_,124.58
EC0.dmem_rdata\[11\],124.48
clknet_leaf_147_clk,124.48
clknet_leaf_553_clk,124.46
_20205_,124.44
_24753_,124.4
clknet_leaf_342_clk,124.4
_25569_,124.34
clknet_leaf_381_clk,124.235
_24983_,124.22
_27263_,124.14
clknet_leaf_356_clk,124.14
_19979_,123.98
_20501_,123.97
_24734_,123.92
clknet_leaf_4_clk,123.92
_20337_,123.9
_19991_,123.855
clknet_leaf_518_clk,123.82
_26327_,123.78
_25849_,123.76
_19201_,123.74
_20118_,123.7
clknet_leaf_115_clk,123.7
clknet_leaf_651_clk,123.7
clknet_leaf_7_clk,123.5
_24725_,123.47
_24759_,123.44
_25877_,123.44
clknet_leaf_44_clk,123.4
_19360_,123.2
_19211_,123.195
_25605_,123.12
clknet_leaf_447_clk,123.08
_27430_,122.96
_26224_,122.84
_26673_,122.76
